number,filename,tempo,scale,chromagram,zero_crossing_rate,spectral_rolloff,spectral_centroid,spectral_bandwidth,rmse,danceability,percentile_10,percentile_90,dynamic_comp
0,supercollider/SC_200310_191435.aiff,150.732421875,0.0,0.6627607139453576,0.033603606075917614,4710.501818940747,2236.9889689896727,2641.500201558966,0.3487184142085689,2.604319290750343,532.197936390169,470.20764988935093,0.8355673037139774
1,supercollider/SC_200310_205530.aiff,107.666015625,0.0,0.4462029735730405,0.03169679779371698,3206.1147159233165,1701.4511393567063,1908.8177712170493,0.17650071641974358,1.8906633356087426,160.95625170674782,296.0063920642971,2.5499358610858427
2,supercollider/SC_200310_211113.aiff,172.265625,0.0,0.5801201834489262,0.04357167249990068,5772.821192150637,2547.596825342796,2774.5458604027335,0.2874095259535871,1.2931520236810377,318.9473646424571,553.0840767441997,1.2385835404802816
3,supercollider/SC_200310_212050.aiff,107.666015625,0.0,0.5472838818195109,0.024929887104635298,3120.164296729499,1589.2135508361166,1902.4630984607693,0.18309452402158127,1.88406628183778,133.89167806854655,297.54717459655205,3.046861605955535
4,supercollider/SC_200310_212402.aiff,172.265625,0.0,0.49805096849766634,0.03917107380193397,4904.001921321576,2261.3776426873437,2501.0210771562993,0.26950647903298497,1.7271914313588415,314.64727610571566,487.63380083046036,0.8480632963949928
5,supercollider/SC_200312_215020.aiff,86.1328125,0.0,0.38830297539999636,0.01727090126676609,2490.169034231678,1261.856199860059,1524.4551186859208,0.20287448764909247,1.8277755586975672,139.66484390048288,623.7852160288771,2.6344655394079757
6,supercollider/SC_200326_165530.aiff,129.19921875,0.0,0.31365405256197676,0.08157904618050568,9369.638714607227,3909.56777603526,3999.6774919930185,0.12995241547547356,1.227301481801544,140.48049888144578,176.07972145683837,1.8631647979599504
7,supercollider/SC_200329_154129.aiff,86.1328125,0.0,0.23476200002121378,0.030981738704469942,2806.3357773350467,1369.778004004606,1362.4207232612741,0.063026824410377,1.3578841138607394,80.68985216032237,84.90515884434038,2.96906141398316
8,supercollider/SC_200329_154506.aiff,107.666015625,1.0,0.205251080917997,0.053315118382782384,3362.9727508443752,1822.6484512084864,1948.5592577338382,0.0743946595263581,1.5985995980438328,87.50782019679707,81.61578502478906,2.419963888667583
9,supercollider/SC_200329_154919.aiff,129.19921875,0.0,0.3409067946083302,0.018177857819088154,988.4916773908062,705.9205127732823,722.1724186315367,0.2728747845514934,1.6074994397173457,328.2237353601387,416.29785262985206,0.8480496478592979
10,supercollider/SC_200329_155302.aiff,150.732421875,1.0,0.3850659161728166,0.01547293935356167,668.896317197368,555.9429936491895,636.7309052649515,0.28164026281658033,1.1433087024410604,326.95647218649606,445.64327677549807,1.822194926810639
