first,tempo,scale,chroma,zcr,rolloff,centroid,bandwidth,rmse,dance,percentile_10,percentile_90,dynam,valence,arousal
0,0.13846153843161346,1.0,0.2741816737611124,0.10249282477873083,0.30392799368896695,0.27079797264971844,0.42903401441765754,0.10282420642553664,0.11371218987461253,0.04977850855219849,0.07758252020148734,0.23897833975707647,3.1,3.0
1,0.5101214574680433,1.0,0.538871062191051,0.14154535161883638,0.459425114895267,0.3927224061180669,0.5715079115951036,0.4333231158394577,0.24633738563411234,0.360522491157885,0.33514017374676475,0.10622069879573652,3.5,3.3
2,0.32307692306604124,0.0,0.4162808058195614,0.13543703589584244,0.32960376510465283,0.3239420677209623,0.4884779128942288,0.10859820325934377,0.1481876743664331,0.05112240885379935,0.06782685177280717,0.1444884213745278,5.7,5.5
3,0.5769230769162758,1.0,0.5361128117257371,0.04570459485118582,0.14809891828446126,0.1705700037914519,0.364877814220191,0.10988067201502753,0.12780830184497655,0.033426543739776625,0.11037427777217809,0.42842838352166296,4.4,5.3
4,0.10931174086706333,0.0,0.2418889037508211,0.0906109860842882,0.2683269506220262,0.3065935005983037,0.47747955554126276,0.0912380171117548,0.13605158497543793,0.026660023464997726,0.11569748742576227,0.5387584585916521,5.8,6.4
5,0.32307692306604124,1.0,0.43524482528124914,0.10027873714391446,0.30525294962453414,0.27090174806655065,0.3811780789421596,0.14685778059554272,0.15224344991962568,0.08036249628322492,0.08952410138917191,0.05337278876791727,3.2,4.8
6,0.32307692306604124,0.0,0.514844813120126,0.09766317753129168,0.3281349403452935,0.2889593060109226,0.44890254119839845,0.12454161763925352,0.15686424518692596,0.05729576614592352,0.08275741439822827,0.1079117889933877,4.0,4.7
7,0.8307692307665103,0.0,0.21923719080949308,0.11261114535155403,0.3678483855693891,0.360573473514762,0.5283377428201126,0.09347384158654347,0.12245848227857982,0.025001621850319792,0.09006653583526679,0.41698183943583444,5.5,5.8
8,0.47928994081323056,0.0,0.3212134456429847,0.12124487255977366,0.43219619331410564,0.41346804607077825,0.5929479460859054,0.10181008552334345,0.16156040259591342,0.03220015045865245,0.12729567836898698,0.4041984553419783,3.2,4.0
9,0.5769230769162758,0.0,0.3747649362896568,0.11250104784795104,0.2956695705511216,0.2830969520310944,0.41300276809020753,0.09902370566206789,0.1548355363164128,0.014295043965892689,0.115342424257721,0.3121902502632042,4.4,6.0
