first,tempo,scale,chroma_stft,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,rmse,dance,percentile_10,percentile_90,dynam_comp
0,0.75,0.0,0.9319406445814672,0.1538223071930911,0.3775194870442553,0.36148973272359086,0.49535112684682525,0.9199859705256938,0.9285335716575122,1.0,0.7224728770494738,0.03214362222193005
1,0.25,0.0,0.49081559369185285,0.14264659131693436,0.23911029232912503,0.25265150707686446,0.31431529985084355,0.44360597732234996,0.5739172275733782,0.3026523000009951,0.4502789970779604,0.19058169591756974
2,1.0,0.0,0.763603054070465,0.21224468726610346,0.4752568105571644,0.4246150734312235,0.5282248929964608,0.7503963862657426,0.2770132706202333,0.5994259215299249,0.8519693942700993,0.06938947344029711
3,0.25,0.0,0.696715972581716,0.1029860381682838,0.23120253488944537,0.2298412790976002,0.31274514695774763,0.46184543854426985,0.5706391450840069,0.25181367126740406,0.4526865088312223,0.23650645197330453
4,1.0,0.0,0.5964292252357001,0.18645298015399492,0.39532221434370307,0.36644628261466144,0.46064065282871614,0.7008738721463547,0.49268787801366026,0.5913485504409378,0.7497016795096343,0.033298473669001655
5,0.0,0.0,0.37287411722150815,0.05809707349232238,0.17324063347339727,0.16331191130846517,0.21934453518426092,0.5165597859047278,0.542668229544076,0.2626580997912288,0.962441716115384,0.19839373805161462
6,0.5,0.0,0.22081531835723195,0.43500416099942985,0.8061773667238293,0.7014106487453821,0.8309381954027716,0.3148463923774315,0.2442920717722087,0.2641902421891178,0.26289053506413984,0.12711186392392876
7,0.0,0.0,0.06011332436709293,0.13845566279481486,0.2023291468094065,0.185245035397451,0.17930804793861269,0.12972016536321124,0.30917870972162154,0.15187831254149745,0.12042797043027934,0.22931633378299504
8,0.25,1.0,0.0,0.2693505766511267,0.2535418134811446,0.2772826342264463,0.3241348786747265,0.16116530302803025,0.4287904699128663,0.16468531812589665,0.1152882404777002,0.17856997950115325
9,0.5,0.0,0.276328768033104,0.06341270424313511,0.035080745459599355,0.050328195857985696,0.02111143162650922,0.7101911106219346,0.4332128099696553,0.6168508391811571,0.6382374526458378,0.033297212302129855
10,0.75,1.0,0.36628027340938035,0.04755930119203946,0.005676786631222456,0.019848020294008284,0.0,0.7344377387557424,0.20255597732545236,0.6144703870501237,0.684090421547101,0.1233255208785299
11,1.0,0.0,0.28310693891585836,0.23729388001415752,0.26531036187356377,0.26291234022844057,0.29285725179074573,0.21560256104173792,0.312813310963441,0.17755794805573152,0.17539918916481573,0.19755684449082017
12,0.0,1.0,0.22041702896289014,0.06932200126373451,0.07576071662984486,0.09618181881288888,0.11956997370513939,0.3611229941144043,0.10660450707654286,0.18015651599017143,0.4488478396508788,0.4476752903438792
13,0.25,0.0,0.3044943437651526,0.14710749135542547,0.17932601589769362,0.1770865209274763,0.16738693171699187,0.23117516908354013,0.33430445036429846,0.18332059064981085,0.18250971496619295,0.22717392550988594
14,0.5,1.0,0.6862147942125921,0.04446549031807589,0.09167611543366803,0.10062881669109727,0.18320313772747698,0.15626989725313764,0.3685265380341608,0.15672055628096757,0.14267544818458708,0.12715283498861654
15,0.75,0.0,0.623945872996757,0.09519201048819327,0.15952430751308977,0.14454944253601518,0.15513130121101326,0.3719949932946126,0.535961086917561,0.22382372365375275,0.30143918623520993,0.09940101191055015
16,1.0,1.0,0.34668422502867385,0.16969223339483225,0.26887640761411924,0.2238865125025902,0.20939590425917776,0.23833265288455166,0.31487648464634926,0.21647427437636196,0.14657916946130456,0.04440522943083793
17,0.0,0.0,0.19234761016905336,0.21204570535141543,0.25371818283029035,0.26274408277472644,0.27642555822531023,0.0,0.2514212092994583,0.07575455128778003,0.0,0.2924074754113463
18,0.25,1.0,0.33617033082400505,0.35917482956973085,0.4226429733001646,0.5414223153747637,0.5405699726404192,0.11737569791182652,1.0,0.13157053050708933,0.08669256947423018,0.39039311689850653
19,0.5,0.0,0.16273505642363006,0.4903643245775934,0.6659081877868264,0.6842454121026426,0.7219016370818643,0.02581348269349759,0.33366915172274814,0.022615522181916474,0.02149559838803084,0.37176889488448217
20,0.75,1.0,0.19928099831709614,0.0752425263080343,0.060259885220949966,0.07633238392965444,0.06906604029669194,0.6408263606159259,0.24602628968605536,0.43482634746064963,0.5672764097778163,0.09819269252330157
21,1.0,0.0,0.41421708180191585,0.10709569809190614,0.09981923107187306,0.12080326103437199,0.17027564499458556,0.5404679668268719,0.5639239023154373,0.529248099604903,0.42229127485082635,0.07434694890887213
22,0.0,1.0,0.3367600933783707,0.09197879833288805,0.07772337599971517,0.09957185229415096,0.16528901899902654,0.29430244180205,0.4261353108480142,0.2380098279586158,0.23164639007081872,0.18450326239694134
23,0.25,0.0,0.40020654300148806,0.10298019958819161,0.09480061371941524,0.10138816728222536,0.14377018566285854,0.3778637812023721,0.44540487378797367,0.32976794004244836,0.28132398127159186,0.14706056787063593
24,0.5,1.0,0.32307953576481124,0.16078994666980048,0.19656288176379344,0.20234047246934828,0.28058035089645283,0.38478176751495957,0.7778398788668752,0.3524179853762951,0.281577424389823,0.0667355809006725
25,0.75,0.0,0.2519098449361655,0.22514116782508659,0.23814757404421028,0.27482504858913237,0.3625409497361102,0.4061517750797186,0.23987535681407013,0.32545653697586224,0.33485287517687085,0.11679463038925714
26,1.0,1.0,0.2611028685874094,0.2645737789837291,0.42485013407729716,0.42837696424809246,0.558953787855808,0.41498477740589557,0.6125960809037702,0.3354692332313529,0.3589813384436791,0.10013202073005062
27,0.0,0.0,0.14030873628344923,0.897663747198948,1.0,1.0,1.0,0.07831179301778224,0.35758864621088293,0.03563711432974694,0.08462548257767943,0.43654073779357183
28,0.25,1.0,0.1653068078902075,0.06143357069808798,0.014657186918660853,0.041980738214067205,0.03582089511004473,0.5086548928243468,0.2691785207183073,0.44869047790024313,0.48941865370559523,0.14799068578671484
29,0.5,0.0,0.24582452945628558,0.06952057264828944,0.04019396735340864,0.05787772072311465,0.045203483682704465,0.7597600121306041,0.27383880244799774,0.610848605431531,0.7069683166798612,0.057217306486058266
30,0.75,1.0,0.613344229017873,0.03446909839301269,0.049095833761860164,0.036872807592140795,0.007254529103503407,0.8541508188970663,0.28401438090220527,0.6032210510919989,0.8305332812376345,0.0943640469704059
31,1.0,0.0,0.4883095231939993,0.07045577336716834,0.09225284715881674,0.09972041695896915,0.07877572169058052,0.8002156591898029,0.30098744106724795,0.6329105288853204,0.7022077319033502,0.1552292498083598
32,0.0,1.0,0.20715777535511334,0.013916733300621206,0.03304325854038025,0.055232395865216756,0.07386533579336589,0.46174453091174306,0.5245315614722584,0.4367900724848196,0.33527878172951553,0.12121235762992998
33,0.25,0.0,0.13829910881959845,0.06891592486507202,0.1299755131482929,0.1450052033150421,0.16753759017076417,0.5347643059762802,0.26787709789460434,0.3740945467001269,0.5432371651219788,0.14713751124981586
34,0.5,1.0,0.26485824365516586,0.11347963705946183,0.48418796594869634,0.419500272586371,0.6339169114105625,0.6685700557112544,0.25738471388441975,0.5129405531352769,0.624857977677124,0.11232098255060109
35,0.75,0.0,0.5207617016688433,0.02432506782346781,0.0,0.005495548035934383,0.03323580331402247,0.7465756317164198,0.42075951657002186,0.6109526022283309,0.6569724187120395,0.08167301441758683
36,1.0,1.0,0.6273697956239452,0.024522078262804357,0.023525319093731182,0.01719105713674191,0.008084394365733539,0.6266904965312174,0.49359014383714794,0.4521951019450828,0.5335259801291661,0.06911673789223866
37,0.0,0.0,0.0960238948415113,0.04717061703786261,0.009973445125582254,0.0431693261538812,0.05925059986349463,0.3052574563360627,0.36289570178336983,0.29070283682377485,0.25114173071912715,0.18227652941258782
38,0.25,1.0,0.17053217558277936,0.06708213687963434,0.03715432123163328,0.07912497432771087,0.09808180705513732,0.5358120585404035,0.37543742173378364,0.4657176125642278,0.45698226886579796,0.07000301163019967
39,0.5,0.0,0.35257260269193186,0.26160430776611593,0.23704328269861882,0.3115769232984263,0.32226657661912034,0.5646132053812506,0.22636420736228663,0.19805403692416765,0.5793008789768779,0.3841007181825871
40,0.75,1.0,0.22946124581139307,0.3662480451045531,0.5957612531311821,0.562205973099516,0.6594927384264725,0.43770303142793826,0.07230288051176698,0.06269581796114995,0.46513337945838545,0.29675615449511095
41,1.0,0.0,0.22431122732614123,0.18410902937090595,0.1762774786798034,0.19191085041344222,0.18975511883193666,0.4795749397009122,0.022277640694123673,0.11485597245662048,0.6296844663329632,0.4123020783985761
42,0.0,1.0,0.3254216665647296,0.06724409148494886,0.060180198097051704,0.08231398180891697,0.12866795982421247,0.05283499541758868,0.26382938940791656,0.06153125649880895,0.07797350809909424,0.6263650062632705
43,0.25,0.0,0.6436776970760094,0.08759730126149677,0.13992152691458307,0.14093046040369916,0.23025139498619981,0.36648007489936807,0.46550200124134594,0.2689985774778394,0.333468479126366,0.14981665448552217
44,0.5,1.0,0.6461247072467862,0.1012555079054619,0.12265136989386215,0.11679635325537073,0.13848397061824308,0.31013379508665984,0.4548082386994866,0.27960097338325723,0.24311612996786966,0.11957891088959278
45,0.75,0.0,0.4921730354086628,0.12587072654441606,0.1762305009799009,0.16906341154406343,0.20036802300686332,0.33948478309889335,0.24787514711039244,0.19043945158094075,0.351222688731476,0.18971525366987102
